antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Beer'}),frozenset({'Diapers'}),0.4375,0.4375,0.3125,0.7142857142857143,1.6326530612244898,1.0,0.12109375,1.96875,0.6888888888888889,0.5555555555555556,0.4920634920634921,0.7142857142857143
frozenset({'Diapers'}),frozenset({'Beer'}),0.4375,0.4375,0.3125,0.7142857142857143,1.6326530612244898,1.0,0.12109375,1.96875,0.6888888888888889,0.5555555555555556,0.4920634920634921,0.7142857142857143
frozenset({'Butter'}),frozenset({'Bread'}),0.375,0.625,0.375,1.0,1.6,1.0,0.140625,inf,0.6,0.6,1.0,0.8
frozenset({'Bread'}),frozenset({'Butter'}),0.625,0.375,0.375,0.6,1.5999999999999999,1.0,0.140625,1.5625,1.0,0.6,0.36,0.8
frozenset({'Milk'}),frozenset({'Bread'}),0.5625,0.625,0.375,0.6666666666666666,1.0666666666666667,1.0,0.0234375,1.1249999999999998,0.14285714285714285,0.46153846153846156,0.11111111111111101,0.6333333333333333
frozenset({'Bread'}),frozenset({'Milk'}),0.625,0.5625,0.375,0.6,1.0666666666666667,1.0,0.0234375,1.09375,0.16666666666666666,0.46153846153846156,0.08571428571428566,0.6333333333333333
frozenset({'Milk'}),frozenset({'Butter'}),0.5625,0.375,0.25,0.4444444444444444,1.1851851851851851,1.0,0.0390625,1.125,0.35714285714285715,0.36363636363636365,0.11111111111111108,0.5555555555555556
frozenset({'Butter'}),frozenset({'Milk'}),0.375,0.5625,0.25,0.6666666666666666,1.1851851851851851,1.0,0.0390625,1.3124999999999998,0.25,0.36363636363636365,0.238095238095238,0.5555555555555556
frozenset({'Milk'}),frozenset({'Diapers'}),0.5625,0.4375,0.25,0.4444444444444444,1.0158730158730158,1.0,0.00390625,1.0125,0.03571428571428571,0.3333333333333333,0.012345679012345635,0.5079365079365079
frozenset({'Diapers'}),frozenset({'Milk'}),0.4375,0.5625,0.25,0.5714285714285714,1.0158730158730158,1.0,0.00390625,1.0208333333333333,0.027777777777777776,0.3333333333333333,0.02040816326530605,0.5079365079365079
"frozenset({'Milk', 'Butter'})",frozenset({'Bread'}),0.25,0.625,0.25,1.0,1.6,1.0,0.09375,inf,0.5,0.4,1.0,0.7
"frozenset({'Milk', 'Bread'})",frozenset({'Butter'}),0.375,0.375,0.25,0.6666666666666666,1.7777777777777777,1.0,0.109375,1.8749999999999998,0.7,0.5,0.4666666666666666,0.6666666666666666
"frozenset({'Butter', 'Bread'})",frozenset({'Milk'}),0.375,0.5625,0.25,0.6666666666666666,1.1851851851851851,1.0,0.0390625,1.3124999999999998,0.25,0.36363636363636365,0.238095238095238,0.5555555555555556
frozenset({'Milk'}),"frozenset({'Butter', 'Bread'})",0.5625,0.375,0.25,0.4444444444444444,1.1851851851851851,1.0,0.0390625,1.125,0.35714285714285715,0.36363636363636365,0.11111111111111108,0.5555555555555556
frozenset({'Butter'}),"frozenset({'Milk', 'Bread'})",0.375,0.375,0.25,0.6666666666666666,1.7777777777777777,1.0,0.109375,1.8749999999999998,0.7,0.5,0.4666666666666666,0.6666666666666666
frozenset({'Bread'}),"frozenset({'Milk', 'Butter'})",0.625,0.25,0.25,0.4,1.6,1.0,0.09375,1.25,1.0,0.4,0.20000000000000004,0.7
